kind	symbol	present	intro	note	detail
class	AESContext	YYYYYY	4.2	core	RefCounted
class	AStar2D	YYYYYY	4.2	core	RefCounted
class	AStar3D	YYYYYY	4.2	core	RefCounted
class	AStarGrid2D	YYYYYY	4.2	core	RefCounted
class	AcceptDialog	YYYYYY	4.2	core	Window
class	AccessibilityServer	-----Y	4.7	core	Object
class	AimModifier3D	---YYY	4.5	core	BoneConstraint3D
class	AnimatableBody2D	YYYYYY	4.2	core	StaticBody2D
class	AnimatableBody3D	YYYYYY	4.2	core	StaticBody3D
class	AnimatedSprite2D	YYYYYY	4.2	core	Node2D
class	AnimatedSprite3D	YYYYYY	4.2	core	SpriteBase3D
class	AnimatedTexture	YYYYYY	4.2	core	Texture2D
class	Animation	YYYYYY	4.2	core	Resource
class	AnimationLibrary	YYYYYY	4.2	core	Resource
class	AnimationMixer	YYYYYY	4.2	core	Node
class	AnimationNode	YYYYYY	4.2	core	Resource
class	AnimationNodeAdd2	YYYYYY	4.2	core	AnimationNodeSync
class	AnimationNodeAdd3	YYYYYY	4.2	core	AnimationNodeSync
class	AnimationNodeAnimation	YYYYYY	4.2	core	AnimationRootNode
class	AnimationNodeBlend2	YYYYYY	4.2	core	AnimationNodeSync
class	AnimationNodeBlend3	YYYYYY	4.2	core	AnimationNodeSync
class	AnimationNodeBlendSpace1D	YYYYYY	4.2	core	AnimationRootNode
class	AnimationNodeBlendSpace2D	YYYYYY	4.2	core	AnimationRootNode
class	AnimationNodeBlendTree	YYYYYY	4.2	core	AnimationRootNode
class	AnimationNodeExtension	--YYYY	4.4	core	AnimationNode
class	AnimationNodeOneShot	YYYYYY	4.2	core	AnimationNodeSync
class	AnimationNodeOutput	YYYYYY	4.2	core	AnimationNode
class	AnimationNodeStateMachine	YYYYYY	4.2	core	AnimationRootNode
class	AnimationNodeStateMachinePlayback	YYYYYY	4.2	core	Resource
class	AnimationNodeStateMachineTransition	YYYYYY	4.2	core	Resource
class	AnimationNodeSub2	YYYYYY	4.2	core	AnimationNodeSync
class	AnimationNodeSync	YYYYYY	4.2	core	AnimationNode
class	AnimationNodeTimeScale	YYYYYY	4.2	core	AnimationNode
class	AnimationNodeTimeSeek	YYYYYY	4.2	core	AnimationNode
class	AnimationNodeTransition	YYYYYY	4.2	core	AnimationNodeSync
class	AnimationPlayer	YYYYYY	4.2	core	AnimationMixer
class	AnimationRootNode	YYYYYY	4.2	core	AnimationNode
class	AnimationTree	YYYYYY	4.2	core	AnimationMixer
class	Area2D	YYYYYY	4.2	core	CollisionObject2D
class	Area3D	YYYYYY	4.2	core	CollisionObject3D
class	AreaLight3D	-----Y	4.7	core	Light3D
class	ArrayMesh	YYYYYY	4.2	core	Mesh
class	ArrayOccluder3D	YYYYYY	4.2	core	Occluder3D
class	AspectRatioContainer	YYYYYY	4.2	core	Container
class	AtlasTexture	YYYYYY	4.2	core	Texture2D
class	AudioBusLayout	YYYYYY	4.2	core	Resource
class	AudioEffect	YYYYYY	4.2	core	Resource
class	AudioEffectAmplify	YYYYYY	4.2	core	AudioEffect
class	AudioEffectBandLimitFilter	YYYYYY	4.2	core	AudioEffectFilter
class	AudioEffectBandPassFilter	YYYYYY	4.2	core	AudioEffectFilter
class	AudioEffectCapture	YYYYYY	4.2	core	AudioEffect
class	AudioEffectChorus	YYYYYY	4.2	core	AudioEffect
class	AudioEffectCompressor	YYYYYY	4.2	core	AudioEffect
class	AudioEffectDelay	YYYYYY	4.2	core	AudioEffect
class	AudioEffectDistortion	YYYYYY	4.2	core	AudioEffect
class	AudioEffectEQ	YYYYYY	4.2	core	AudioEffect
class	AudioEffectEQ10	YYYYYY	4.2	core	AudioEffectEQ
class	AudioEffectEQ21	YYYYYY	4.2	core	AudioEffectEQ
class	AudioEffectEQ6	YYYYYY	4.2	core	AudioEffectEQ
class	AudioEffectFilter	YYYYYY	4.2	core	AudioEffect
